date;hour;sub_rf_id;Pren
18.11.2020 0:00:00;0;1;0
18.11.2020 0:00:00;1;1;0
18.11.2020 0:00:00;2;1;0
18.11.2020 0:00:00;3;1;0
18.11.2020 0:00:00;4;1;0
18.11.2020 0:00:00;5;1;0
18.11.2020 0:00:00;6;1;0
18.11.2020 0:00:00;7;1;1.20436363636364
18.11.2020 0:00:00;8;1;2.19272727272727
18.11.2020 0:00:00;9;1;2.05963636363636
18.11.2020 0:00:00;10;1;2.01818181818182
18.11.2020 0:00:00;11;1;1.35054545454545
18.11.2020 0:00:00;12;1;0
18.11.2020 0:00:00;13;1;0
18.11.2020 0:00:00;14;1;0
18.11.2020 0:00:00;15;1;0
18.11.2020 0:00:00;16;1;0
18.11.2020 0:00:00;17;1;0
18.11.2020 0:00:00;18;1;0
18.11.2020 0:00:00;19;1;0
18.11.2020 0:00:00;20;1;0
18.11.2020 0:00:00;21;1;0
18.11.2020 0:00:00;22;1;0
18.11.2020 0:00:00;23;1;0
18.11.2020 0:00:00;0;3;0
18.11.2020 0:00:00;1;3;0
18.11.2020 0:00:00;2;3;0
18.11.2020 0:00:00;3;3;0
18.11.2020 0:00:00;4;3;0
18.11.2020 0:00:00;5;3;0
18.11.2020 0:00:00;6;3;0
18.11.2020 0:00:00;7;3;0
18.11.2020 0:00:00;8;3;0
18.11.2020 0:00:00;9;3;0
18.11.2020 0:00:00;10;3;0
18.11.2020 0:00:00;11;3;0
18.11.2020 0:00:00;12;3;0
18.11.2020 0:00:00;13;3;0
18.11.2020 0:00:00;14;3;0
18.11.2020 0:00:00;15;3;0
18.11.2020 0:00:00;16;3;0
18.11.2020 0:00:00;17;3;0
18.11.2020 0:00:00;18;3;0
18.11.2020 0:00:00;19;3;0
18.11.2020 0:00:00;20;3;0
18.11.2020 0:00:00;21;3;0
18.11.2020 0:00:00;22;3;0
18.11.2020 0:00:00;23;3;0
18.11.2020 0:00:00;0;4;0
18.11.2020 0:00:00;1;4;0
18.11.2020 0:00:00;2;4;0
18.11.2020 0:00:00;3;4;0
18.11.2020 0:00:00;4;4;0
18.11.2020 0:00:00;5;4;0
18.11.2020 0:00:00;6;4;0
18.11.2020 0:00:00;7;4;0
18.11.2020 0:00:00;8;4;0
18.11.2020 0:00:00;9;4;0
18.11.2020 0:00:00;10;4;0
18.11.2020 0:00:00;11;4;0
18.11.2020 0:00:00;12;4;0
18.11.2020 0:00:00;13;4;0
18.11.2020 0:00:00;14;4;0
18.11.2020 0:00:00;15;4;0
18.11.2020 0:00:00;16;4;0
18.11.2020 0:00:00;17;4;0
18.11.2020 0:00:00;18;4;0
18.11.2020 0:00:00;19;4;0
18.11.2020 0:00:00;20;4;0
18.11.2020 0:00:00;21;4;0
18.11.2020 0:00:00;22;4;0
18.11.2020 0:00:00;23;4;0
18.11.2020 0:00:00;0;7;0
18.11.2020 0:00:00;1;7;0
18.11.2020 0:00:00;2;7;0
18.11.2020 0:00:00;3;7;0
18.11.2020 0:00:00;4;7;0
18.11.2020 0:00:00;5;7;0
18.11.2020 0:00:00;6;7;0
18.11.2020 0:00:00;7;7;0
18.11.2020 0:00:00;8;7;0
18.11.2020 0:00:00;9;7;3.92
18.11.2020 0:00:00;10;7;3.53
18.11.2020 0:00:00;11;7;5.18
18.11.2020 0:00:00;12;7;5.6
18.11.2020 0:00:00;13;7;6.64
18.11.2020 0:00:00;14;7;4.87
18.11.2020 0:00:00;15;7;0
18.11.2020 0:00:00;16;7;0
18.11.2020 0:00:00;17;7;0
18.11.2020 0:00:00;18;7;0
18.11.2020 0:00:00;19;7;0
18.11.2020 0:00:00;20;7;0
18.11.2020 0:00:00;21;7;0
18.11.2020 0:00:00;22;7;0
18.11.2020 0:00:00;23;7;0
18.11.2020 0:00:00;0;12;0
18.11.2020 0:00:00;1;12;0
18.11.2020 0:00:00;2;12;0
18.11.2020 0:00:00;3;12;0
18.11.2020 0:00:00;4;12;0
18.11.2020 0:00:00;5;12;0
18.11.2020 0:00:00;6;12;0
18.11.2020 0:00:00;7;12;0
18.11.2020 0:00:00;8;12;5.89
18.11.2020 0:00:00;9;12;12.35
18.11.2020 0:00:00;10;12;19.19
18.11.2020 0:00:00;11;12;19.95
18.11.2020 0:00:00;12;12;18.05
18.11.2020 0:00:00;13;12;12.16
18.11.2020 0:00:00;14;12;6.27
18.11.2020 0:00:00;15;12;0
18.11.2020 0:00:00;16;12;0
18.11.2020 0:00:00;17;12;0
18.11.2020 0:00:00;18;12;0
18.11.2020 0:00:00;19;12;0
18.11.2020 0:00:00;20;12;0
18.11.2020 0:00:00;21;12;0
18.11.2020 0:00:00;22;12;0
18.11.2020 0:00:00;23;12;0
18.11.2020 0:00:00;0;14;0
18.11.2020 0:00:00;1;14;0
18.11.2020 0:00:00;2;14;0
18.11.2020 0:00:00;3;14;0
18.11.2020 0:00:00;4;14;0
18.11.2020 0:00:00;5;14;0
18.11.2020 0:00:00;6;14;0
18.11.2020 0:00:00;7;14;0
18.11.2020 0:00:00;8;14;0
18.11.2020 0:00:00;9;14;0
18.11.2020 0:00:00;10;14;0
18.11.2020 0:00:00;11;14;0
18.11.2020 0:00:00;12;14;0
18.11.2020 0:00:00;13;14;0
18.11.2020 0:00:00;14;14;0
18.11.2020 0:00:00;15;14;0
18.11.2020 0:00:00;16;14;0
18.11.2020 0:00:00;17;14;0
18.11.2020 0:00:00;18;14;0
18.11.2020 0:00:00;19;14;0
18.11.2020 0:00:00;20;14;0
18.11.2020 0:00:00;21;14;0
18.11.2020 0:00:00;22;14;0
18.11.2020 0:00:00;23;14;0
18.11.2020 0:00:00;0;15;0
18.11.2020 0:00:00;1;15;0
18.11.2020 0:00:00;2;15;0
18.11.2020 0:00:00;3;15;0
18.11.2020 0:00:00;4;15;0
18.11.2020 0:00:00;5;15;0
18.11.2020 0:00:00;6;15;0
18.11.2020 0:00:00;7;15;0
18.11.2020 0:00:00;8;15;0
18.11.2020 0:00:00;9;15;0
18.11.2020 0:00:00;10;15;0
18.11.2020 0:00:00;11;15;0
18.11.2020 0:00:00;12;15;0
18.11.2020 0:00:00;13;15;0
18.11.2020 0:00:00;14;15;0
18.11.2020 0:00:00;15;15;0
18.11.2020 0:00:00;16;15;0
18.11.2020 0:00:00;17;15;0
18.11.2020 0:00:00;18;15;0
18.11.2020 0:00:00;19;15;0
18.11.2020 0:00:00;20;15;0
18.11.2020 0:00:00;21;15;0
18.11.2020 0:00:00;22;15;0
18.11.2020 0:00:00;23;15;0
18.11.2020 0:00:00;0;17;0
18.11.2020 0:00:00;1;17;0
18.11.2020 0:00:00;2;17;0
18.11.2020 0:00:00;3;17;0
18.11.2020 0:00:00;4;17;0
18.11.2020 0:00:00;5;17;0
18.11.2020 0:00:00;6;17;0
18.11.2020 0:00:00;7;17;0
18.11.2020 0:00:00;8;17;0
18.11.2020 0:00:00;9;17;0
18.11.2020 0:00:00;10;17;0
18.11.2020 0:00:00;11;17;0
18.11.2020 0:00:00;12;17;0
18.11.2020 0:00:00;13;17;0
18.11.2020 0:00:00;14;17;0
18.11.2020 0:00:00;15;17;0
18.11.2020 0:00:00;16;17;0
18.11.2020 0:00:00;17;17;0
18.11.2020 0:00:00;18;17;0
18.11.2020 0:00:00;19;17;0
18.11.2020 0:00:00;20;17;0
18.11.2020 0:00:00;21;17;0
18.11.2020 0:00:00;22;17;0
18.11.2020 0:00:00;23;17;0
18.11.2020 0:00:00;0;18;0
18.11.2020 0:00:00;1;18;0
18.11.2020 0:00:00;2;18;0
18.11.2020 0:00:00;3;18;0
18.11.2020 0:00:00;4;18;0
18.11.2020 0:00:00;5;18;0
18.11.2020 0:00:00;6;18;0
18.11.2020 0:00:00;7;18;0
18.11.2020 0:00:00;8;18;0
18.11.2020 0:00:00;9;18;0.852
18.11.2020 0:00:00;10;18;1.615
18.11.2020 0:00:00;11;18;2.083
18.11.2020 0:00:00;12;18;2.16
18.11.2020 0:00:00;13;18;1.968
18.11.2020 0:00:00;14;18;1.171
18.11.2020 0:00:00;15;18;0
18.11.2020 0:00:00;16;18;0
18.11.2020 0:00:00;17;18;0
18.11.2020 0:00:00;18;18;0
18.11.2020 0:00:00;19;18;0
18.11.2020 0:00:00;20;18;0
18.11.2020 0:00:00;21;18;0
18.11.2020 0:00:00;22;18;0
18.11.2020 0:00:00;23;18;0
18.11.2020 0:00:00;0;19;0
18.11.2020 0:00:00;1;19;0
18.11.2020 0:00:00;2;19;0
18.11.2020 0:00:00;3;19;0
18.11.2020 0:00:00;4;19;0
18.11.2020 0:00:00;5;19;0
18.11.2020 0:00:00;6;19;0
18.11.2020 0:00:00;7;19;0
18.11.2020 0:00:00;8;19;0
18.11.2020 0:00:00;9;19;0
18.11.2020 0:00:00;10;19;0
18.11.2020 0:00:00;11;19;0
18.11.2020 0:00:00;12;19;0
18.11.2020 0:00:00;13;19;0
18.11.2020 0:00:00;14;19;0
18.11.2020 0:00:00;15;19;0
18.11.2020 0:00:00;16;19;0
18.11.2020 0:00:00;17;19;0
18.11.2020 0:00:00;18;19;0
18.11.2020 0:00:00;19;19;0
18.11.2020 0:00:00;20;19;0
18.11.2020 0:00:00;21;19;0
18.11.2020 0:00:00;22;19;0
18.11.2020 0:00:00;23;19;0
18.11.2020 0:00:00;0;20;0
18.11.2020 0:00:00;1;20;0
18.11.2020 0:00:00;2;20;0
18.11.2020 0:00:00;3;20;0
18.11.2020 0:00:00;4;20;0
18.11.2020 0:00:00;5;20;0
18.11.2020 0:00:00;6;20;0
18.11.2020 0:00:00;7;20;0
18.11.2020 0:00:00;8;20;0
18.11.2020 0:00:00;9;20;0
18.11.2020 0:00:00;10;20;0
18.11.2020 0:00:00;11;20;0
18.11.2020 0:00:00;12;20;0
18.11.2020 0:00:00;13;20;0
18.11.2020 0:00:00;14;20;0
18.11.2020 0:00:00;15;20;0
18.11.2020 0:00:00;16;20;0
18.11.2020 0:00:00;17;20;0
18.11.2020 0:00:00;18;20;0
18.11.2020 0:00:00;19;20;0
18.11.2020 0:00:00;20;20;0
18.11.2020 0:00:00;21;20;0
18.11.2020 0:00:00;22;20;0
18.11.2020 0:00:00;23;20;0
18.11.2020 0:00:00;0;22;0
18.11.2020 0:00:00;1;22;0
18.11.2020 0:00:00;2;22;0
18.11.2020 0:00:00;3;22;0
18.11.2020 0:00:00;4;22;0
18.11.2020 0:00:00;5;22;0
18.11.2020 0:00:00;6;22;0
18.11.2020 0:00:00;7;22;0
18.11.2020 0:00:00;8;22;0
18.11.2020 0:00:00;9;22;0
18.11.2020 0:00:00;10;22;0
18.11.2020 0:00:00;11;22;0
18.11.2020 0:00:00;12;22;0
18.11.2020 0:00:00;13;22;0
18.11.2020 0:00:00;14;22;0
18.11.2020 0:00:00;15;22;0
18.11.2020 0:00:00;16;22;0
18.11.2020 0:00:00;17;22;0
18.11.2020 0:00:00;18;22;0
18.11.2020 0:00:00;19;22;0
18.11.2020 0:00:00;20;22;0
18.11.2020 0:00:00;21;22;0
18.11.2020 0:00:00;22;22;0
18.11.2020 0:00:00;23;22;0
18.11.2020 0:00:00;0;24;0
18.11.2020 0:00:00;1;24;0
18.11.2020 0:00:00;2;24;0
18.11.2020 0:00:00;3;24;0
18.11.2020 0:00:00;4;24;0
18.11.2020 0:00:00;5;24;0
18.11.2020 0:00:00;6;24;0
18.11.2020 0:00:00;7;24;0
18.11.2020 0:00:00;8;24;0
18.11.2020 0:00:00;9;24;0
18.11.2020 0:00:00;10;24;0
18.11.2020 0:00:00;11;24;0
18.11.2020 0:00:00;12;24;0
18.11.2020 0:00:00;13;24;0
18.11.2020 0:00:00;14;24;0
18.11.2020 0:00:00;15;24;0
18.11.2020 0:00:00;16;24;0
18.11.2020 0:00:00;17;24;0
18.11.2020 0:00:00;18;24;0
18.11.2020 0:00:00;19;24;0
18.11.2020 0:00:00;20;24;0
18.11.2020 0:00:00;21;24;0
18.11.2020 0:00:00;22;24;0
18.11.2020 0:00:00;23;24;0
18.11.2020 0:00:00;0;25;0
18.11.2020 0:00:00;1;25;0
18.11.2020 0:00:00;2;25;0
18.11.2020 0:00:00;3;25;0
18.11.2020 0:00:00;4;25;0
18.11.2020 0:00:00;5;25;0
18.11.2020 0:00:00;6;25;0
18.11.2020 0:00:00;7;25;0
18.11.2020 0:00:00;8;25;0
18.11.2020 0:00:00;9;25;0
18.11.2020 0:00:00;10;25;0
18.11.2020 0:00:00;11;25;0
18.11.2020 0:00:00;12;25;0
18.11.2020 0:00:00;13;25;0
18.11.2020 0:00:00;14;25;0
18.11.2020 0:00:00;15;25;0
18.11.2020 0:00:00;16;25;0
18.11.2020 0:00:00;17;25;0
18.11.2020 0:00:00;18;25;0
18.11.2020 0:00:00;19;25;0
18.11.2020 0:00:00;20;25;0
18.11.2020 0:00:00;21;25;0
18.11.2020 0:00:00;22;25;0
18.11.2020 0:00:00;23;25;0
18.11.2020 0:00:00;0;26;0
18.11.2020 0:00:00;1;26;0
18.11.2020 0:00:00;2;26;0
18.11.2020 0:00:00;3;26;0
18.11.2020 0:00:00;4;26;0
18.11.2020 0:00:00;5;26;0
18.11.2020 0:00:00;6;26;0
18.11.2020 0:00:00;7;26;0
18.11.2020 0:00:00;8;26;0
18.11.2020 0:00:00;9;26;0
18.11.2020 0:00:00;10;26;0
18.11.2020 0:00:00;11;26;0
18.11.2020 0:00:00;12;26;0
18.11.2020 0:00:00;13;26;0
18.11.2020 0:00:00;14;26;0
18.11.2020 0:00:00;15;26;0
18.11.2020 0:00:00;16;26;0
18.11.2020 0:00:00;17;26;0
18.11.2020 0:00:00;18;26;0
18.11.2020 0:00:00;19;26;0
18.11.2020 0:00:00;20;26;0
18.11.2020 0:00:00;21;26;0
18.11.2020 0:00:00;22;26;0
18.11.2020 0:00:00;23;26;0
18.11.2020 0:00:00;0;28;0
18.11.2020 0:00:00;1;28;0
18.11.2020 0:00:00;2;28;0
18.11.2020 0:00:00;3;28;0
18.11.2020 0:00:00;4;28;0
18.11.2020 0:00:00;5;28;0
18.11.2020 0:00:00;6;28;0
18.11.2020 0:00:00;7;28;0
18.11.2020 0:00:00;8;28;0
18.11.2020 0:00:00;9;28;0
18.11.2020 0:00:00;10;28;0
18.11.2020 0:00:00;11;28;0
18.11.2020 0:00:00;12;28;0
18.11.2020 0:00:00;13;28;0
18.11.2020 0:00:00;14;28;0
18.11.2020 0:00:00;15;28;0
18.11.2020 0:00:00;16;28;0
18.11.2020 0:00:00;17;28;0
18.11.2020 0:00:00;18;28;0
18.11.2020 0:00:00;19;28;0
18.11.2020 0:00:00;20;28;0
18.11.2020 0:00:00;21;28;0
18.11.2020 0:00:00;22;28;0
18.11.2020 0:00:00;23;28;0
18.11.2020 0:00:00;0;29;0
18.11.2020 0:00:00;1;29;0
18.11.2020 0:00:00;2;29;0
18.11.2020 0:00:00;3;29;0
18.11.2020 0:00:00;4;29;0
18.11.2020 0:00:00;5;29;0
18.11.2020 0:00:00;6;29;0
18.11.2020 0:00:00;7;29;0
18.11.2020 0:00:00;8;29;0
18.11.2020 0:00:00;9;29;0
18.11.2020 0:00:00;10;29;0
18.11.2020 0:00:00;11;29;0
18.11.2020 0:00:00;12;29;0
18.11.2020 0:00:00;13;29;0
18.11.2020 0:00:00;14;29;0
18.11.2020 0:00:00;15;29;0
18.11.2020 0:00:00;16;29;0
18.11.2020 0:00:00;17;29;0
18.11.2020 0:00:00;18;29;0
18.11.2020 0:00:00;19;29;0
18.11.2020 0:00:00;20;29;0
18.11.2020 0:00:00;21;29;0
18.11.2020 0:00:00;22;29;0
18.11.2020 0:00:00;23;29;0
18.11.2020 0:00:00;0;32;0
18.11.2020 0:00:00;1;32;0
18.11.2020 0:00:00;2;32;0
18.11.2020 0:00:00;3;32;0
18.11.2020 0:00:00;4;32;0
18.11.2020 0:00:00;5;32;0
18.11.2020 0:00:00;6;32;0
18.11.2020 0:00:00;7;32;0
18.11.2020 0:00:00;8;32;0
18.11.2020 0:00:00;9;32;0
18.11.2020 0:00:00;10;32;0
18.11.2020 0:00:00;11;32;0
18.11.2020 0:00:00;12;32;0
18.11.2020 0:00:00;13;32;0
18.11.2020 0:00:00;14;32;0
18.11.2020 0:00:00;15;32;0
18.11.2020 0:00:00;16;32;0
18.11.2020 0:00:00;17;32;0
18.11.2020 0:00:00;18;32;0
18.11.2020 0:00:00;19;32;0
18.11.2020 0:00:00;20;32;0
18.11.2020 0:00:00;21;32;0
18.11.2020 0:00:00;22;32;0
18.11.2020 0:00:00;23;32;0
18.11.2020 0:00:00;0;33;0
18.11.2020 0:00:00;1;33;0
18.11.2020 0:00:00;2;33;0
18.11.2020 0:00:00;3;33;0
18.11.2020 0:00:00;4;33;0
18.11.2020 0:00:00;5;33;0
18.11.2020 0:00:00;6;33;0
18.11.2020 0:00:00;7;33;0
18.11.2020 0:00:00;8;33;0
18.11.2020 0:00:00;9;33;0
18.11.2020 0:00:00;10;33;0
18.11.2020 0:00:00;11;33;0
18.11.2020 0:00:00;12;33;0
18.11.2020 0:00:00;13;33;0
18.11.2020 0:00:00;14;33;0
18.11.2020 0:00:00;15;33;0
18.11.2020 0:00:00;16;33;0
18.11.2020 0:00:00;17;33;0
18.11.2020 0:00:00;18;33;0
18.11.2020 0:00:00;19;33;0
18.11.2020 0:00:00;20;33;0
18.11.2020 0:00:00;21;33;0
18.11.2020 0:00:00;22;33;0
18.11.2020 0:00:00;23;33;0
18.11.2020 0:00:00;0;34;0
18.11.2020 0:00:00;1;34;0
18.11.2020 0:00:00;2;34;0
18.11.2020 0:00:00;3;34;0
18.11.2020 0:00:00;4;34;0
18.11.2020 0:00:00;5;34;0
18.11.2020 0:00:00;6;34;0
18.11.2020 0:00:00;7;34;0
18.11.2020 0:00:00;8;34;0
18.11.2020 0:00:00;9;34;0
18.11.2020 0:00:00;10;34;0
18.11.2020 0:00:00;11;34;0
18.11.2020 0:00:00;12;34;0
18.11.2020 0:00:00;13;34;0
18.11.2020 0:00:00;14;34;0
18.11.2020 0:00:00;15;34;0
18.11.2020 0:00:00;16;34;0
18.11.2020 0:00:00;17;34;0
18.11.2020 0:00:00;18;34;0
18.11.2020 0:00:00;19;34;0
18.11.2020 0:00:00;20;34;0
18.11.2020 0:00:00;21;34;0
18.11.2020 0:00:00;22;34;0
18.11.2020 0:00:00;23;34;0
18.11.2020 0:00:00;0;35;0.93
18.11.2020 0:00:00;1;35;0.53
18.11.2020 0:00:00;2;35;0.38
18.11.2020 0:00:00;3;35;0.99
18.11.2020 0:00:00;4;35;1.35
18.11.2020 0:00:00;5;35;1.79
18.11.2020 0:00:00;6;35;1.26
18.11.2020 0:00:00;7;35;0.37
18.11.2020 0:00:00;8;35;1.38
18.11.2020 0:00:00;9;35;4.59
18.11.2020 0:00:00;10;35;10.35
18.11.2020 0:00:00;11;35;15.7
18.11.2020 0:00:00;12;35;13.96
18.11.2020 0:00:00;13;35;10.93
18.11.2020 0:00:00;14;35;13.67
18.11.2020 0:00:00;15;35;13.56
18.11.2020 0:00:00;16;35;5.9
18.11.2020 0:00:00;17;35;2.37
18.11.2020 0:00:00;18;35;0.62
18.11.2020 0:00:00;19;35;0.71
18.11.2020 0:00:00;20;35;0.41
18.11.2020 0:00:00;21;35;0.37
18.11.2020 0:00:00;22;35;0.45
18.11.2020 0:00:00;23;35;0.78
18.11.2020 0:00:00;0;36;0
18.11.2020 0:00:00;1;36;0
18.11.2020 0:00:00;2;36;0
18.11.2020 0:00:00;3;36;0
18.11.2020 0:00:00;4;36;0
18.11.2020 0:00:00;5;36;0
18.11.2020 0:00:00;6;36;0
18.11.2020 0:00:00;7;36;0
18.11.2020 0:00:00;8;36;0
18.11.2020 0:00:00;9;36;0.78
18.11.2020 0:00:00;10;36;1.62
18.11.2020 0:00:00;11;36;1.89
18.11.2020 0:00:00;12;36;1.26
